Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
2017-03-24;255.7;263.89;255.01;263.16;5647253.0;0.0;1.0;255.7;263.89;255.01;263.16;5647253.0
2017-03-27;260.6;270.57;259.75;270.22;6230795.0;0.0;1.0;260.6;270.57;259.75;270.22;6230795.0
2017-03-28;277.02;280.68;275.0;277.45;7987604.0;0.0;1.0;277.02;280.68;275.0;277.45;7987604.0
2017-03-29;278.34;279.6;275.54;277.38;3676157.0;0.0;1.0;278.34;279.6;275.54;277.38;3676157.0
2017-03-30;278.04;282.0;277.21;277.92;4148426.0;0.0;1.0;278.04;282.0;277.21;277.92;4148426.0
2017-03-31;278.73;279.68;276.3197;278.3;3294640.0;0.0;1.0;278.73;279.68;276.3197;278.3;3294640.0
2017-04-03;286.9;299.0;284.58;298.52;13888618.0;0.0;1.0;286.9;299.0;284.58;298.52;13888618.0
2017-04-04;296.89;304.81;294.53;303.7;10134556.0;0.0;1.0;296.89;304.81;294.53;303.7;10134556.0
2017-04-05;302.04;304.88;294.2;295.0;7880938.0;0.0;1.0;302.04;304.88;294.2;295.0;7880938.0
2017-04-06;296.88;301.94;294.1;298.7;5520588.0;0.0;1.0;296.88;301.94;294.1;298.7;5520588.0
2017-04-07;297.5;302.69;297.15;302.54;4562929.0;0.0;1.0;297.5;302.69;297.15;302.54;4562929.0
2017-04-10;309.15;313.7299;308.71;312.39;7664458.0;0.0;1.0;309.15;313.7299;308.71;312.39;7664458.0
2017-04-11;313.38;313.47;305.5;308.71;5724577.0;0.0;1.0;313.38;313.47;305.5;308.71;5724577.0
2017-04-12;306.34;308.4481;296.32;296.84;6050682.0;0.0;1.0;306.34;308.4481;296.32;296.84;6050682.0
2017-04-13;296.7;307.39;295.3;304.0;9284634.0;0.0;1.0;296.7;307.39;295.3;304.0;9284634.0
2017-04-17;302.7;304.0;298.68;301.44;4138736.0;0.0;1.0;302.7;304.0;298.68;301.44;4138736.0
2017-04-18;299.7;300.8399;297.9;300.25;3035698.0;0.0;1.0;299.7;300.8399;297.9;300.25;3035698.0
2017-04-19;302.46;306.62;302.11;305.52;3898024.0;0.0;1.0;302.46;306.62;302.11;305.52;3898024.0
2017-04-20;306.51;309.15;300.23;302.51;6149352.0;0.0;1.0;306.51;309.15;300.23;302.51;6149352.0
2017-04-21;302.0;306.4;300.42;305.6;4509756.0;0.0;1.0;302.0;306.4;300.42;305.6;4509756.0
2017-04-24;309.22;310.55;306.0215;308.03;5077561.0;0.0;1.0;309.22;310.55;306.0215;308.03;5077561.0
2017-04-25;308.0;313.98;305.86;313.79;6666406.0;0.0;1.0;308.0;313.98;305.86;313.79;6666406.0
2017-04-26;312.37;314.5;309.0;310.17;4184186.0;0.0;1.0;312.37;314.5;309.0;310.17;4184186.0
2017-04-27;311.69;313.09;307.5;308.605;3430245.0;0.0;1.0;311.69;313.09;307.5;308.605;3430245.0
2017-04-28;309.83;314.8;308.0;314.0025;4447619.0;0.0;1.0;309.83;314.8;308.0;314.0025;4447619.0
2017-05-01;314.88;327.25;314.81;322.83;8480546.0;0.0;1.0;314.88;327.25;314.81;322.83;8480546.0
2017-05-02;324.0;327.6599;316.5601;318.89;5242868.0;0.0;1.0;324.0;327.6599;316.5601;318.89;5242868.0
2017-05-03;317.67;321.53;310.45;310.765;6278906.0;0.0;1.0;317.67;321.53;310.45;310.765;6278906.0
2017-05-04;307.435;307.77;290.7601;295.46;14039582.0;0.0;1.0;307.435;307.77;290.7601;295.46;14039582.0
2017-05-05;298.0;308.55;296.8;308.35;8084153.0;0.0;1.0;298.0;308.55;296.8;308.35;8084153.0
2017-05-08;310.9;313.79;305.82;307.0;6981229.0;0.0;1.0;310.9;313.79;305.82;307.0;6981229.0
2017-05-09;309.38;321.99;309.1;321.3592;9596356.0;0.0;1.0;309.38;321.99;309.1;321.3592;9596356.0
2017-05-10;321.56;325.5;318.12;325.22;5681214.0;0.0;1.0;321.56;325.5;318.12;325.22;5681214.0
2017-05-11;323.4;326.0;319.6;323.1;4693235.0;0.0;1.0;323.4;326.0;319.6;323.1;4693235.0
2017-05-12;325.48;327.0;321.53;324.81;4114166.0;0.0;1.0;325.48;327.0;321.53;324.81;4114166.0
2017-05-15;318.38;320.2;312.53;315.88;7568594.0;0.0;1.0;318.38;320.2;312.53;315.88;7568594.0
2017-05-16;317.59;320.06;315.14;317.01;4121619.0;0.0;1.0;317.59;320.06;315.14;317.01;4121619.0
2017-05-17;314.39;314.63;305.5;306.11;6675795.0;0.0;1.0;314.39;314.63;305.5;306.11;6675795.0
2017-05-18;307.0;313.94;305.31;313.06;5590416.0;0.0;1.0;307.0;313.94;305.31;313.06;5590416.0
2017-05-19;315.5;316.5;310.2;310.83;4639506.0;0.0;1.0;315.5;316.5;310.2;310.83;4639506.0
2017-05-22;312.8;314.37;306.8;310.35;4279615.0;0.0;1.0;312.8;314.37;306.8;310.35;4279615.0
2017-05-23;310.46;310.73;303.48;303.86;4304658.0;0.0;1.0;310.46;310.73;303.48;303.86;4304658.0
2017-05-24;306.51;311.0;305.4;310.22;5016931.0;0.0;1.0;306.51;311.0;305.4;310.22;5016931.0
2017-05-25;311.02;316.97;307.81;316.83;4819412.0;0.0;1.0;311.02;316.97;307.81;316.83;4819412.0
2017-05-26;317.28;325.49;316.31;325.14;7705715.0;0.0;1.0;317.28;325.49;316.31;325.14;7705715.0
2017-05-30;326.0;336.28;325.76;335.1;7663064.0;0.0;1.0;326.0;336.28;325.76;335.1;7663064.0
2017-05-31;337.69;342.89;335.16;341.01;9863176.0;0.0;1.0;337.69;342.89;335.16;341.01;9863176.0
2017-06-01;344.0;344.88;337.29;340.37;7580447.0;0.0;1.0;344.0;344.88;337.29;340.37;7580447.0
2017-06-02;339.77;342.88;335.93;339.85;5570256.0;0.0;1.0;339.77;342.88;335.93;339.85;5570256.0
2017-06-05;338.5;348.44;334.21;347.32;6737855.0;0.0;1.0;338.5;348.44;334.21;347.32;6737855.0
2017-06-06;344.7;359.4929;339.97;352.85;10951473.0;0.0;1.0;344.7;359.4929;339.97;352.85;10951473.0
2017-06-07;356.34;360.5;355.14;359.65;9287888.0;0.0;1.0;356.34;360.5;355.14;359.65;9287888.0
2017-06-08;363.75;371.9;360.22;370.0;8975028.0;0.0;1.0;363.75;371.9;360.22;370.0;8975028.0
2017-06-09;374.42;376.87;354.8;357.32;17160231.0;0.0;1.0;374.42;376.87;354.8;357.32;17160231.0
2017-06-12;357.99;364.5;350.62;359.01;10476833.0;0.0;1.0;357.99;364.5;350.62;359.01;10476833.0
2017-06-13;367.62;376.0;366.61;375.95;11693404.0;0.0;1.0;367.62;376.0;366.61;375.95;11693404.0
2017-06-14;381.085;384.25;376.31;380.66;12731997.0;0.0;1.0;381.085;384.25;376.31;380.66;12731997.0
2017-06-15;372.5;375.46;366.49;375.34;10371559.0;0.0;1.0;372.5;375.46;366.49;375.34;10371559.0
2017-06-16;377.975;378.01;370.1;371.4;6259666.0;0.0;1.0;377.975;378.01;370.1;371.4;6259666.0
2017-06-19;375.0;376.7;367.8;369.8;6392331.0;0.0;1.0;375.0;376.7;367.8;369.8;6392331.0
2017-06-20;376.67;378.88;369.73;372.24;7396357.0;0.0;1.0;376.67;378.88;369.73;372.24;7396357.0
2017-06-21;374.35;376.99;368.02;376.4;4900356.0;0.0;1.0;374.35;376.99;368.02;376.4;4900356.0
2017-06-22;377.99;385.0;373.57;382.61;7485677.0;0.0;1.0;377.99;385.0;373.57;382.61;7485677.0
2017-06-23;382.45;386.99;379.345;383.45;6176578.0;0.0;1.0;382.45;386.99;379.345;383.45;6176578.0
